The test problem	The pareto optimal paths	The objective values	Number of paths
Test problem 10	Path10_659_660	97,42.2,14.9,45.7,19.2,25.4,37.2	2
Test problem 10	Path10_661_661	97,42.2,15.1,33.1,25.6,21.4,46.1	1
Test problem 10	Path10_662_662	97,42.2,15.1,33.5,25.3,21.4,46.3	1
Test problem 10	Path10_663_663	97,42.2,15.1,33.8,26.1,22.1,45.7	1
Test problem 10	Path10_664_664	97,42.2,15.1,34.2,25.8,22.1,45.9	1
Test problem 10	Path10_665_665	97,42.2,16.2,34.7,19.7,32.5,37.2	1
Test problem 10	Path10_666_666	97,42.3,13.8,46,18.7,34.5,34.7	1
Test problem 10	Path10_667_667	97,42.3,13.9,36,16.5,35.6,36	1
Test problem 10	Path10_668_668	97,42.3,13.9,46.1,19.5,34,34.4	1
Test problem 10	Path10_669_670	97,42.3,14.9,45.9,19.2,25.1,37.5	2
Test problem 10	Path10_671_671	97,42.3,16.1,45.2,19.5,31.1,34.8	1
Test problem 10	Path10_672_672	97,42.3,16.3,35,20.5,31.7,37.2	1
Test problem 10	Path10_673_673	97,42.3,16.3,42.9,27,25.9,37	1
Test problem 10	Path10_674_674	97,42.3,16.6,34.2,25.5,22.3,45.5	1
Test problem 10	Path10_675_675	97,42.4,12.7,34.9,25.4,21.1,50	1
Test problem 10	Path10_676_677	97,42.4,13.8,45.8,18.6,34.7,34.5	2
Test problem 10	Path10_678_678	97,42.4,13.9,46.3,19.5,33.7,34.7	1
Test problem 10	Path10_679_679	97,42.4,13.9,47,18.5,31.4,35.4	1
Test problem 10	Path10_680_680	97,42.4,15.1,33.6,25,22.4,46.6	1
Test problem 10	Path10_681_681	97,42.4,15.1,34,24.7,22.4,46.8	1
Test problem 10	Path10_682_682	97,42.4,15.1,34.2,25.7,22.2,45.6	1
Test problem 10	Path10_683_683	97,42.4,15.1,34.6,25.4,22.2,45.8	1
Test problem 10	Path10_684_684	97,42.4,16.1,45.4,19.5,30.8,35.1	1
Test problem 10	Path10_685_686	97,42.4,16.2,34.7,19.6,32.4,37.3	2
Test problem 10	Path10_687_687	97,42.4,16.2,45.5,20.3,30.3,34.8	1
Test problem 10	Path10_688_688	97,42.4,16.3,43.1,27,25.6,37.3	1
Test problem 10	Path10_689_690	97,42.5,13.8,46,18.6,34.4,34.8	2
Test problem 10	Path10_691_692	97,42.5,13.9,46.1,19.4,33.9,34.5	2
Test problem 10	Path10_693_693	97,42.5,13.9,47.2,18.5,31.1,35.7	1
Test problem 10	Path10_694_694	97,42.5,14,47.3,19.3,30.6,35.4	1
Test problem 10	Path10_695_696	97,42.5,16.1,45.2,19.4,31,34.9	2
Test problem 10	Path10_697_697	97,42.5,16.2,45.7,20.3,30,35.1	1
Test problem 10	Path10_698_699	97,42.5,16.3,35,20.4,31.6,37.3	2
Test problem 10	Path10_700_700	97,42.5,16.6,33.5,26,21.8,45.3	1
Test problem 10	Path10_701_701	97,42.5,16.6,33.7,25.3,22.1,45.6	1
Test problem 10	Path10_702_702	97,42.5,17.8,44.5,19.9,26.2,36.2	1
Test problem 10	Path10_703_703	97,42.6,12.7,35.3,25,21.2,49.9	1
Test problem 10	Path10_704_704	97,42.6,12.7,35.7,24.7,21.2,50.1	1
Test problem 10	Path10_705_706	97,42.6,13.9,46.3,19.4,33.6,34.8	2
Test problem 10	Path10_707_708	97,42.6,13.9,47,18.4,31.3,35.5	2
Test problem 10	Path10_709_709	97,42.6,14,47.5,19.3,30.3,35.7	1
Test problem 10	Path10_710_710	97,42.6,14.1,34.6,26.1,19.3,50.7	1
Test problem 10	Path10_711_711	97,42.6,14.1,35,25.8,19.3,51.9	1
Test problem 10	Path10_712_712	97,42.6,14.3,35.3,24.8,27.3,43.5	1
Test problem 10	Path10_713_713	97,42.6,14.3,35.7,24.5,27.3,43.7	1
Test problem 10	Path10_714_714	97,42.6,14.9,46,18.9,26.3,38.4	1
Test problem 10	Path10_715_716	97,42.6,16.1,45.4,19.4,30.7,35.2	2
Test problem 10	Path10_717_718	97,42.6,16.2,45.5,20.2,30.2,34.9	2
Test problem 10	Path10_719_719	97,42.7,13.1,35.8,25.6,20.4,48.4	1
Test problem 10	Path10_720_720	97,42.7,13.1,36,24.9,20.7,48.7	1
Test problem 10	Path10_721_721	97,42.7,13.1,36.2,25.3,20.4,48.6	1
Test problem 10	Path10_722_722	97,42.7,13.1,36.4,24.6,20.7,48.9	1
Test problem 10	Path10_723_724	97,42.7,13.9,47.2,18.4,31,35.8	2
Test problem 10	Path10_725_726	97,42.7,14,47.3,19.2,30.5,35.5	2
Test problem 10	Path10_727_727	97,42.7,14.4,35.6,25.6,26.5,43.5	1
Test problem 10	Path10_728_728	97,42.7,14.4,36,25.3,26.5,43.7	1
Test problem 10	Path10_729_729	97,42.7,14.9,46.2,18.9,26,38.7	1
Test problem 10	Path10_730_731	97,42.7,16.2,45.7,20.2,29.9,35.2	2
Test problem 10	Path10_732_732	97,42.7,16.6,33.9,25.6,21.9,45.2	1
Test problem 10	Path10_733_734	97,42.8,14,47.5,19.2,30.2,35.8	2
Test problem 10	Path10_735_735	97,42.8,15.1,33.4,25.2,22.2,47.4	1
Test problem 10	Path10_736_736	97,42.8,15.1,33.8,24.9,22.2,47.6	1
Test problem 10	Path10_737_737	97,42.8,15.1,34,25.3,22.6,46.2	1
Test problem 10	Path10_738_738	97,42.8,15.1,34.4,25,22.6,46.4	1
Test problem 10	Path10_739_739	97,42.8,15.7,34.4,19.3,33.5,37.5	1
Test problem 10	Path10_740_740	97,42.8,16.6,33.7,25.8,21.9,45.4	1
Test problem 10	Path10_741_741	97,42.9,13.1,36.2,25.2,20.5,48.3	1
Test problem 10	Path10_742_742	97,42.9,13.1,36.6,24.9,20.5,48.5	1
Test problem 10	Path10_743_743	97,42.9,15.9,42.6,27,25.9,38	1
Test problem 10	Path10_744_744	97,42.9,16.6,33.3,25.6,22.2,45.9	1
Test problem 10	Path10_745_745	97,42.9,16.6,33.5,24.9,22.5,46.2	1
Test problem 10	Path10_746_746	97,43,15.1,33.3,25.8,22.1,46	1
Test problem 10	Path10_747_747	97,43,15.1,33.7,25.5,22.1,46.2	1
Test problem 10	Path10_748_749	97,43,15.7,34.4,19.2,33.4,37.6	2
Test problem 10	Path10_750_750	97,43,15.9,42.8,27,25.6,38.3	1
Test problem 10	Path10_751_751	97,43,16.6,33.9,26.1,21.7,45	1
Test problem 10	Path10_752_752	97,43,17.8,44.2,19.3,25.7,35.2	1
Test problem 10	Path10_753_753	97,43.1,13.1,35.8,24.5,21.1,49.3	1
Test problem 10	Path10_754_754	97,43.1,13.1,36.2,24.2,21.1,49.5	1
Test problem 10	Path10_755_755	97,43.1,16.6,33.7,25.2,22.3,45.8	1
Test problem 10	Path10_756_756	97,43.2,13.9,35,24.8,27.3,44.5	1
Test problem 10	Path10_757_757	97,43.2,13.9,35.4,24.5,27.3,44.7	1
Test problem 10	Path10_758_758	97,43.2,15.1,33.7,25.4,22.2,45.9	1
Test problem 10	Path10_759_759	97,43.2,15.1,34.1,25.1,22.2,46.1	1
Test problem 10	Path10_760_760	97,43.2,16.6,33.5,25.4,22.3,46	1
Test problem 10	Path10_761_762	97,43.2,17.8,44.2,19.2,25.6,35.3	2
Test problem 10	Path10_763_763	97,43.3,12.7,35.5,25.6,20.4,49.4	1
Test problem 10	Path10_764_764	97,43.3,12.7,35.7,24.9,20.7,49.7	1
Test problem 10	Path10_765_765	97,43.3,12.7,35.9,25.3,20.4,49.6	1
Test problem 10	Path10_766_766	97,43.3,12.7,36.1,24.6,20.7,49.9	1
Test problem 10	Path10_767_767	97,43.3,13.1,36.4,24.5,20.9,49.1	1
Test problem 10	Path10_768_768	97,43.3,14,35.3,25.6,26.5,44.5	1
Test problem 10	Path10_769_769	97,43.3,14,35.7,25.3,26.5,44.7	1
Test problem 10	Path10_770_770	97,43.3,16.2,34.7,18.7,32.8,37.5	1
Test problem 10	Path10_771_771	97,43.4,15.1,33.1,25.4,22.5,46.6	1
Test problem 10	Path10_772_772	97,43.4,15.1,33.5,25.1,22.5,46.8	1
Test problem 10	Path10_773_773	97,43.4,16.1,45.2,18.5,31.4,35.1	1
Test problem 10	Path10_774_774	97,43.4,16.3,35,19.5,32,37.5	1
Test problem 10	Path10_775_775	97,43.5,12.7,35.9,25.2,20.5,49.3	1
Test problem 10	Path10_776_776	97,43.5,12.7,36.3,24.9,20.5,49.5	1
Test problem 10	Path10_777_777	97,43.5,15.1,33.7,25.9,22,45.7	1
Test problem 10	Path10_778_778	97,43.5,15.1,34.1,25.6,22,45.9	1
Test problem 10	Path10_779_779	97,43.5,15.1,34.2,25.9,21.8,45.7	1
Test problem 10	Path10_780_780	97,43.5,15.1,34.4,25.2,22.1,46	1
Test problem 10	Path10_781_781	97,43.5,15.1,34.6,25.6,21.8,45.9	1
Test problem 10	Path10_782_782	97,43.5,15.1,34.8,24.9,22.1,46.2	1
Test problem 10	Path10_783_783	97,43.5,16.1,45.4,18.5,31.1,35.4	1
Test problem 10	Path10_784_785	97,43.5,16.2,34.7,18.6,32.7,37.6	2
Test problem 10	Path10_786_786	97,43.5,16.2,45.5,19.3,30.6,35.1	1
Test problem 10	Path10_787_787	97,43.6,13.7,36,21.1,33.4,37.2	1
Test problem 10	Path10_788_788	97,43.6,14.3,46.2,20.3,31.3,34.7	1
Test problem 10	Path10_789_789	97,43.6,15.1,33.5,25,22.6,46.5	1
Test problem 10	Path10_790_790	97,43.6,15.1,33.9,24.7,22.6,46.7	1
Test problem 10	Path10_791_792	97,43.6,16.1,45.2,18.4,31.3,35.2	2
Test problem 10	Path10_793_793	97,43.6,16.2,45.7,19.3,30.3,35.4	1
Test problem 10	Path10_794_795	97,43.6,16.3,35,19.4,31.9,37.6	2
Test problem 10	Path10_796_796	97,43.6,17.8,44.5,18.9,26.5,36.5	1
Test problem 10	Path10_797_797	97,43.7,12.7,35.5,24.5,21.1,50.3	1
Test problem 10	Path10_798_798	97,43.7,12.7,35.9,24.2,21.1,50.5	1
Test problem 10	Path10_799_799	97,43.7,14.3,46.4,20.3,31,35	1
Test problem 10	Path10_800_800	97,43.7,14.4,46.5,21.1,30.5,34.7	1
Test problem 10	Path10_801_801	97,43.7,15.1,34.6,25.5,21.9,45.6	1
Test problem 10	Path10_802_802	97,43.7,15.1,35,25.2,21.9,45.8	1
Test problem 10	Path10_803_804	97,43.7,16.1,45.4,18.4,31,35.5	2
Test problem 10	Path10_805_806	97,43.7,16.2,45.5,19.2,30.5,35.2	2
Test problem 10	Path10_807_807	97,43.8,14.4,46.7,21.1,30.2,35	1
Test problem 10	Path10_808_808	97,43.8,14.9,44.6,21.1,25.4,37.4	1
Test problem 10	Path10_809_810	97,43.8,16.2,45.7,19.2,30.2,35.5	2
Test problem 10	Path10_811_811	97,43.9,12.7,36.1,24.5,20.9,50.1	1
Test problem 10	Path10_812_812	97,43.9,14.9,44.8,21.1,25.1,37.7	1
Test problem 10	Path10_813_813	97,43.9,15.1,33.9,25.2,22.4,46.5	1
Test problem 10	Path10_814_814	97,43.9,15.1,34.2,24.8,22.5,46.6	1
Test problem 10	Path10_815_815	97,43.9,15.1,34.6,24.5,22.5,46.8	1
Test problem 10	Path10_816_816	97,44,18.3,31.5,27,23.9,41.1	1
Test problem 10	Path10_817_817	97,44.1,13.1,46.5,19.3,25.5,36.6	1
Test problem 10	Path10_818_818	97,44.1,14.2,36.3,20.5,32.7,37.2	1
Test problem 10	Path10_819_819	97,44.1,15.1,34.8,24.8,22.3,46.4	1
Test problem 10	Path10_820_820	97,44.2,13.1,46.7,19.3,25.2,36.9	1
Test problem 10	Path10_821_821	97,44.2,13.3,35.7,21.1,33.4,38.2	1
Test problem 10	Path10_822_822	97,44.2,13.9,45.9,20.3,31.3,35.7	1
Test problem 10	Path10_823_823	97,44.2,14.3,36.6,21.3,31.9,37.2	1
Test problem 10	Path10_824_825	97,44.3,13.1,46.5,19.2,25.4,36.7	2
Test problem 10	Path10_826_826	97,44.3,13.9,46.1,20.3,31,36	1
Test problem 10	Path10_827_827	97,44.3,14,46.2,21.1,30.5,35.7	1
Test problem 10	Path10_828_828	97,44.3,15.1,33.7,25.6,21.8,46	1
Test problem 10	Path10_829_829	97,44.3,15.1,33.9,24.9,22.1,46.3	1
Test problem 10	Path10_830_830	97,44.3,15.1,34.1,25.3,21.8,46.2	1
Test problem 10	Path10_831_831	97,44.3,15.1,34.3,24.6,22.1,46.5	1
Test problem 10	Path10_832_833	97,44.4,13.1,46.7,19.2,25.1,37	2
Test problem 10	Path10_834_834	97,44.4,13.7,35.8,20.3,33.2,36.8	1
Test problem 10	Path10_835_835	97,44.4,14,46.4,21.1,30.2,36	1
Test problem 10	Path10_836_836	97,44.4,14.3,46,19.5,31.1,34.3	1
Test problem 10	Path10_837_837	97,44.4,14.9,44.9,20.7,26.2,38.7	1
Test problem 10	Path10_838_838	97,44.5,14.3,46.2,19.5,30.8,34.6	1
Test problem 10	Path10_839_839	97,44.5,14.4,46.3,20.3,30.3,34.3	1
Test problem 10	Path10_840_840	97,44.5,14.9,45.1,20.7,25.9,39	1
Test problem 10	Path10_841_841	97,44.5,15.1,34.1,25.2,21.9,45.9	1
Test problem 10	Path10_842_842	97,44.5,15.1,34.5,24.9,21.9,46.1	1
Test problem 10	Path10_843_844	97,44.6,13.7,35.8,20.2,33.1,36.9	2
Test problem 10	Path10_845_846	97,44.6,14.3,46,19.4,31,34.4	2
Test problem 10	Path10_847_847	97,44.6,14.4,46.5,20.3,30,34.6	1
Test problem 10	Path10_848_848	97,44.6,14.9,44.4,20.3,25.2,37	1
Test problem 10	Path10_849_849	97,44.6,15.1,33.9,25.4,21.9,46.1	1
Test problem 10	Path10_850_850	97,44.6,15.1,34.3,25.1,21.9,46.3	1
Test problem 10	Path10_851_851	97,44.7,12.7,46.2,19.3,25.5,37.6	1
Test problem 10	Path10_852_852	97,44.7,13.1,35.2,25.4,22,45.6	1
Test problem 10	Path10_853_853	97,44.7,13.1,35.6,25.1,22,45.8	1
Test problem 10	Path10_854_854	97,44.7,13.1,46.8,18.9,26.3,37.9	1
Test problem 10	Path10_855_855	97,44.7,13.8,36,20.5,32.7,38.2	1
Test problem 10	Path10_856_857	97,44.7,14.3,46.2,19.4,30.7,34.7	2
Test problem 10	Path10_858_859	97,44.7,14.4,46.3,20.2,30.2,34.4	2
Test problem 10	Path10_860_860	97,44.7,14.9,44.6,20.3,24.9,37.3	1
Test problem 10	Path10_861_861	97,44.7,15.1,33.5,25.2,22.2,46.6	1
Test problem 10	Path10_862_862	97,44.7,15.1,33.7,24.5,22.5,46.9	1
Test problem 10	Path10_863_863	97,44.7,15.1,34.1,24.2,22.5,47.1	1
Test problem 10	Path10_864_864	97,44.8,12.7,46.4,19.3,25.2,37.9	1
Test problem 10	Path10_865_865	97,44.8,13.1,47,18.9,26,38.2	1
Test problem 10	Path10_866_866	97,44.8,13.9,36.3,21.3,31.9,38.2	1
Test problem 10	Path10_867_868	97,44.8,14.4,46.5,20.2,29.9,34.7	2
Test problem 10	Path10_869_870	97,44.8,14.9,44.4,20.2,25.1,37.1	2
Test problem 10	Path10_871_871	97,44.8,15.1,34.1,25.7,21.7,45.7	1
Test problem 10	Path10_872_872	97,44.8,15.1,34.5,25.4,21.7,45.9	1
Test problem 10	Path10_873_874	97,44.9,12.7,46.2,19.2,25.4,37.7	2
Test problem 10	Path10_875_875	97,44.9,13.1,34.5,25.6,21.4,45.7	1
Test problem 10	Path10_876_876	97,44.9,13.1,34.9,25.3,21.4,45.9	1
Test problem 10	Path10_877_877	97,44.9,13.1,35.2,26.1,22.1,45.3	1
Test problem 10	Path10_878_878	97,44.9,13.1,35.6,25.8,22.1,45.5	1
Test problem 10	Path10_879_879	97,44.9,14.2,36.1,19.7,32.5,36.8	1
Test problem 10	Path10_880_881	97,44.9,14.9,44.6,20.2,24.8,37.4	2
Test problem 10	Path10_882_882	97,44.9,15.1,33.9,24.8,22.3,46.5	1
Test problem 10	Path10_883_883	97,44.9,15.1,34.3,24.5,22.3,46.7	1
Test problem 10	Path10_884_885	97,45,12.7,46.4,19.2,25.1,38	2
Test problem 10	Path10_886_886	97,45,13.3,35.5,20.3,33.2,37.8	1
Test problem 10	Path10_887_887	97,45,13.9,45.7,19.5,31.1,35.3	1
Test problem 10	Path10_888_888	97,45,14.3,36.4,20.5,31.7,36.8	1
Test problem 10	Path10_889_889	97,45,15.1,33.7,25,22.3,46.7	1
Test problem 10	Path10_890_890	97,45,15.1,34.1,24.7,22.3,46.9	1
Test problem 10	Path10_891_891	97,45.1,13.1,35,25,22.4,46.2	1
Test problem 10	Path10_892_892	97,45.1,13.1,35.4,24.7,22.4,46.4	1
Test problem 10	Path10_893_893	97,45.1,13.1,35.6,25.7,22.2,45.2	1
Test problem 10	Path10_894_894	97,45.1,13.1,36,25.4,22.2,45.4	1
Test problem 10	Path10_895_895	97,45.1,13.9,45.9,19.5,30.8,35.6	1
Test problem 10	Path10_896_896	97,45.1,14,46,20.3,30.3,35.3	1
Test problem 10	Path10_897_898	97,45.1,14.2,36.1,19.6,32.4,36.9	2
Test problem 10	Path10_899_900	97,45.2,13.3,35.5,20.2,33.1,37.9	2
Test problem 10	Path10_901_902	97,45.2,13.9,45.7,19.4,31,35.4	2
Test problem 10	Path10_903_903	97,45.2,14,46.2,20.3,30,35.6	1
Test problem 10	Path10_904_905	97,45.2,14.3,36.4,20.4,31.6,36.9	2
Test problem 10	Path10_906_906	97,45.2,14.9,44.7,19.9,26,38.3	1
Test problem 10	Path10_907_907	97,45.3,12.7,34.9,25.4,22,46.6	1
Test problem 10	Path10_908_908	97,45.3,12.7,35.3,25.1,22,46.8	1
Test problem 10	Path10_909_909	97,45.3,12.7,46.5,18.9,26.3,38.9	1
Test problem 10	Path10_910_911	97,45.3,13.9,45.9,19.4,30.7,35.7	2
Test problem 10	Path10_912_913	97,45.3,14,46,20.2,30.2,35.4	2
Test problem 10	Path10_914_914	97,45.3,14.9,44.9,19.9,25.7,38.6	1
Test problem 10	Path10_915_915	97,45.3,16.3,34.8,20.3,29.3,38.8	1
Test problem 10	Path10_916_916	97,45.4,12.7,46.7,18.9,26,39.2	1
Test problem 10	Path10_917_918	97,45.4,14,46.2,20.2,29.9,35.7	2
Test problem 10	Path10_919_919	97,45.4,16.4,35.1,21.1,28.5,38.8	1
Test problem 10	Path10_920_920	97,45.5,12.7,34.2,25.6,21.4,46.7	1
Test problem 10	Path10_921_921	97,45.5,12.7,34.6,25.3,21.4,46.9	1
Test problem 10	Path10_922_922	97,45.5,12.7,34.9,26.1,22.1,46.3	1
Test problem 10	Path10_923_923	97,45.5,12.7,35.3,25.8,22.1,46.5	1
Test problem 10	Path10_924_924	97,45.5,13.1,34.8,25.2,22.2,47	1
Test problem 10	Path10_925_925	97,45.5,13.1,35.2,24.9,22.2,47.2	1
Test problem 10	Path10_926_926	97,45.5,13.1,35.4,25.3,22.6,45.8	1
Test problem 10	Path10_927_927	97,45.5,13.1,35.8,25,22.6,46	1
Test problem 10	Path10_928_928	97,45.5,13.7,35.8,19.3,33.5,37.1	1
Test problem 10	Path10_929_929	97,45.5,13.8,35.8,19.7,32.5,37.8	1
Test problem 10	Path10_930_930	97,45.5,14.3,46,18.5,31.4,34.6	1
Test problem 10	Path10_931_931	97,45.6,13.9,36.1,20.5,31.7,37.8	1
Test problem 10	Path10_932_932	97,45.6,14.3,46.2,18.5,31.1,34.9	1
Test problem 10	Path10_933_933	97,45.6,14.4,46.3,19.3,30.6,34.6	1
Test problem 10	Path10_934_934	97,45.7,12.7,34.7,25,22.4,47.2	1
Test problem 10	Path10_935_935	97,45.7,12.7,35.1,24.7,22.4,47.4	1
Test problem 10	Path10_936_936	97,45.7,12.7,35.3,25.7,22.2,46.2	1
Test problem 10	Path10_937_937	97,45.7,12.7,35.7,25.4,22.2,46.4	1
Test problem 10	Path10_938_938	97,45.7,13.1,34.7,25.8,22.1,45.6	1
Test problem 10	Path10_939_939	97,45.7,13.1,35.1,25.5,22.1,45.8	1
Test problem 10	Path10_940_941	97,45.7,13.7,35.8,19.2,33.4,37.2	2
Test problem 10	Path10_942_943	97,45.7,13.8,35.8,19.6,32.4,37.9	2
Test problem 10	Path10_944_945	97,45.7,14.3,46,18.4,31.3,34.7	2
Test problem 10	Path10_946_946	97,45.7,14.4,46.5,19.3,30.3,34.9	1
Test problem 10	Path10_947_947	97,45.7,14.9,44.4,19.3,25.5,37.3	1
Test problem 10	Path10_948_949	97,45.8,13.9,36.1,20.4,31.6,37.9	2
Test problem 10	Path10_950_951	97,45.8,14.3,46.2,18.4,31,35	2
Test problem 10	Path10_952_953	97,45.8,14.4,46.3,19.2,30.5,34.7	2
Test problem 10	Path10_954_954	97,45.8,14.9,44.6,19.3,25.2,37.6	1
Test problem 10	Path10_955_955	97,45.9,13.1,35.1,25.4,22.2,45.5	1
Test problem 10	Path10_956_956	97,45.9,13.1,35.5,25.1,22.2,45.7	1
Test problem 10	Path10_957_957	97,45.9,13.1,45.4,21.1,25.4,36.9	1
Test problem 10	Path10_958_959	97,45.9,14.4,46.5,19.2,30.2,35	2
Test problem 10	Path10_960_961	97,45.9,14.9,44.4,19.2,25.4,37.4	2
Test problem 10	Path10_962_962	97,46,13.1,45.6,21.1,25.1,37.2	1
Test problem 10	Path10_963_963	97,46,14.2,36.1,18.7,32.8,37.1	1
Test problem 10	Path10_964_965	97,46,14.9,44.6,19.2,25.1,37.7	2
Test problem 10	Path10_966_966	97,46.1,12.7,34.5,25.2,22.2,48	1
Test problem 10	Path10_967_967	97,46.1,12.7,34.9,24.9,22.2,48.2	1
Test problem 10	Path10_968_968	97,46.1,12.7,35.1,25.3,22.6,46.8	1
Test problem 10	Path10_969_969	97,46.1,12.7,35.5,25,22.6,47	1
Test problem 10	Path10_970_970	97,46.1,13.1,34.5,25.4,22.5,46.2	1
Test problem 10	Path10_971_971	97,46.1,13.1,34.9,25.1,22.5,46.4	1
Test problem 10	Path10_972_972	97,46.1,13.3,35.5,19.3,33.5,38.1	1
Test problem 10	Path10_973_973	97,46.1,13.9,45.7,18.5,31.4,35.6	1
Test problem 10	Path10_974_974	97,46.1,14.3,36.4,19.5,32,37.1	1
Test problem 10	Path10_975_975	97,46.1,16.3,34.6,19.5,29.1,38.4	1
Test problem 10	Path10_976_976	97,46.2,13.1,35.1,25.9,22,45.3	1
Test problem 10	Path10_977_977	97,46.2,13.1,35.5,25.6,22,45.5	1
Test problem 10	Path10_978_978	97,46.2,13.1,35.6,25.9,21.8,45.3	1
Test problem 10	Path10_979_979	97,46.2,13.1,35.8,25.2,22.1,45.6	1
Test problem 10	Path10_980_980	97,46.2,13.1,36,25.6,21.8,45.5	1
Test problem 10	Path10_981_981	97,46.2,13.1,36.2,24.9,22.1,45.8	1
Test problem 10	Path10_982_982	97,46.2,13.9,45.9,18.5,31.1,35.9	1
Test problem 10	Path10_983_983	97,46.2,14,46,19.3,30.6,35.6	1
Test problem 10	Path10_984_985	97,46.2,14.2,36.1,18.6,32.7,37.2	2
Test problem 10	Path10_986_986	97,46.2,16.4,34.9,20.3,28.3,38.4	1
Test problem 10	Path10_987_987	97,46.3,12.7,34.4,25.8,22.1,46.6	1
Test problem 10	Path10_988_988	97,46.3,12.7,34.8,25.5,22.1,46.8	1
Test problem 10	Path10_989_989	97,46.3,13.1,34.9,25,22.6,46.1	1
Test problem 10	Path10_990_990	97,46.3,13.1,35.3,24.7,22.6,46.3	1
Test problem 10	Path10_991_992	97,46.3,13.3,35.5,19.2,33.4,38.2	2
Test problem 10	Path10_993_994	97,46.3,13.9,45.7,18.4,31.3,35.7	2
Test problem 10	Path10_995_995	97,46.3,14,46.2,19.3,30.3,35.9	1
Test problem 10	Path10_996_997	97,46.3,14.3,36.4,19.4,31.9,37.2	2
Test problem 10	Path10_998_998	97,46.3,14.9,44.7,18.9,26.3,38.6	1
Test problem 10	Path10_999_1000	97,46.3,16.3,34.6,19.4,29,38.5	2
Test problem 10	Path10_1001_1001	97,46.4,13.1,36,25.5,21.9,45.2	1
Test problem 10	Path10_1002_1002	97,46.4,13.1,36.4,25.2,21.9,45.4	1
Test problem 10	Path10_1003_1004	97,46.4,13.9,45.9,18.4,31,36	2
Test problem 10	Path10_1005_1006	97,46.4,14,46,19.2,30.5,35.7	2
Test problem 10	Path10_1007_1007	97,46.4,14.9,44.9,18.9,26,38.9	1
Test problem 10	Path10_1008_1009	97,46.4,16.4,34.9,20.2,28.2,38.5	2
Test problem 10	Path10_1010_1010	97,46.5,12.7,34.8,25.4,22.2,46.5	1
Test problem 10	Path10_1011_1011	97,46.5,12.7,35.2,25.1,22.2,46.7	1
Test problem 10	Path10_1012_1012	97,46.5,12.7,45.1,21.1,25.4,37.9	1
Test problem 10	Path10_1013_1013	97,46.5,13.1,45.7,20.7,26.2,38.2	1
Test problem 10	Path10_1014_1015	97,46.5,14,46.2,19.2,30.2,36	2
Test problem 10	Path10_1016_1016	97,46.6,12.7,45.3,21.1,25.1,38.2	1
Test problem 10	Path10_1017_1017	97,46.6,13.1,35.3,25.2,22.4,46.1	1
Test problem 10	Path10_1018_1018	97,46.6,13.1,35.6,24.8,22.5,46.2	1
Test problem 10	Path10_1019_1019	97,46.6,13.1,36,24.5,22.5,46.4	1
Test problem 10	Path10_1020_1020	97,46.6,13.1,45.9,20.7,25.9,38.5	1
Test problem 10	Path10_1021_1021	97,46.6,13.8,35.8,18.7,32.8,38.1	1
Test problem 10	Path10_1022_1022	97,46.7,12.7,34.2,25.4,22.5,47.2	1
Test problem 10	Path10_1023_1023	97,46.7,12.7,34.6,25.1,22.5,47.4	1
Test problem 10	Path10_1024_1024	97,46.7,13.1,45.2,20.3,25.2,36.5	1
Test problem 10	Path10_1025_1025	97,46.7,13.9,36.1,19.5,32,38.1	1
Test problem 10	Path10_1026_1026	97,46.7,16.3,32.9,27,23.9,40.7	1
Test problem 10	Path10_1027_1027	97,46.8,12.7,34.8,25.9,22,46.3	1
Test problem 10	Path10_1028_1028	97,46.8,12.7,35.2,25.6,22,46.5	1
Test problem 10	Path10_1029_1029	97,46.8,12.7,35.3,25.9,21.8,46.3	1
Test problem 10	Path10_1030_1030	97,46.8,12.7,35.5,25.2,22.1,46.6	1
Test problem 10	Path10_1031_1031	97,46.8,12.7,35.7,25.6,21.8,46.5	1
Test problem 10	Path10_1032_1032	97,46.8,12.7,35.9,24.9,22.1,46.8	1
Test problem 10	Path10_1033_1033	97,46.8,13.1,36.2,24.8,22.3,46	1
Test problem 10	Path10_1034_1034	97,46.8,13.1,45.4,20.3,24.9,36.8	1
Test problem 10	Path10_1035_1036	97,46.8,13.8,35.8,18.6,32.7,38.2	2
Test problem 10	Path10_1037_1037	97,46.9,12.7,34.6,25,22.6,47.1	1
Test problem 10	Path10_1038_1038	97,46.9,12.7,35,24.7,22.6,47.3	1
Test problem 10	Path10_1039_1040	97,46.9,13.1,45.2,20.2,25.1,36.6	2
Test problem 10	Path10_1041_1042	97,46.9,13.9,36.1,19.4,31.9,38.2	2
Test problem 10	Path10_1043_1043	97,47,12.7,35.7,25.5,21.9,46.2	1
Test problem 10	Path10_1044_1044	97,47,12.7,36.1,25.2,21.9,46.4	1
Test problem 10	Path10_1045_1045	97,47,13.1,35.1,25.6,21.8,45.6	1
Test problem 10	Path10_1046_1046	97,47,13.1,35.3,24.9,22.1,45.9	1
Test problem 10	Path10_1047_1047	97,47,13.1,35.5,25.3,21.8,45.8	1
Test problem 10	Path10_1048_1048	97,47,13.1,35.7,24.6,22.1,46.1	1
Test problem 10	Path10_1049_1050	97,47,13.1,45.4,20.2,24.8,36.9	2
Test problem 10	Path10_1051_1051	97,47.1,12.7,45.4,20.7,26.2,39.2	1
